2026-02-24T14:40:22 - Movido: datos.php -> sistemas/horas_paradas/datos.php
2026-02-24T14:40:22 - Backup: C:\wamp64\www\BACKOFFICE\verificar_php.php -> C:\wamp64\www\BACKOFFICE\_backup_pre_reorg_20260224_144022\verificar_php.php
2026-02-24T14:40:22 - Movido: verificar_php.php -> sistemas/horas_paradas/verificar_php.php
2026-02-24T14:40:22 - Backup: C:\wamp64\www\BACKOFFICE\logout.php -> C:\wamp64\www\BACKOFFICE\_backup_pre_reorg_20260224_144022\logout.php
2026-02-24T14:40:22 - Movido: logout.php -> sistemas/horas_paradas/logout.php
2026-02-24T14:40:22 - Backup: C:\wamp64\www\BACKOFFICE\formulario.html -> C:\wamp64\www\BACKOFFICE\_backup_pre_reorg_20260224_144022\formulario.html
2026-02-24T14:40:22 - Movido: formulario.html -> sistemas/horas_paradas/formulario.html
2026-02-24T14:40:22 - Backup: C:\wamp64\www\BACKOFFICE\formulario.js -> C:\wamp64\www\BACKOFFICE\_backup_pre_reorg_20260224_144022\formulario.js
2026-02-24T14:40:22 - Movido: formulario.js -> sistemas/horas_paradas/formulario.js
2026-02-24T14:40:22 - Backup: C:\wamp64\www\BACKOFFICE\requerimientos.php -> C:\wamp64\www\BACKOFFICE\_backup_pre_reorg_20260224_144022\requerimientos.php
2026-02-24T14:40:22 - Movido: requerimientos.php -> sistemas/requerimientos/requerimientos.php
2026-02-24T14:40:22 - Backup: C:\wamp64\www\BACKOFFICE\requerimientos_v2.php -> C:\wamp64\www\BACKOFFICE\_backup_pre_reorg_20260224_144022\requerimientos_v2.php
2026-02-24T14:40:22 - Movido: requerimientos_v2.php -> sistemas/requerimientos/requerimientos_v2.php
2026-02-24T14:40:22 - Backup: C:\wamp64\www\BACKOFFICE\requerimientos_reporte.php -> C:\wamp64\www\BACKOFFICE\_backup_pre_reorg_20260224_144022\requerimientos_reporte.php
2026-02-24T14:40:22 - Movido: requerimientos_reporte.php -> sistemas/requerimientos/requerimientos_reporte.php
2026-02-24T14:40:22 - Backup: C:\wamp64\www\BACKOFFICE\entregasrequerimientos.php -> C:\wamp64\www\BACKOFFICE\_backup_pre_reorg_20260224_144022\entregasrequerimientos.php
2026-02-24T14:40:22 - Movido: entregasrequerimientos.php -> sistemas/requerimientos/entregasrequerimientos.php
2026-02-24T14:40:22 - Backup: C:\wamp64\www\BACKOFFICE\entregasrequerimientos_v2.php -> C:\wamp64\www\BACKOFFICE\_backup_pre_reorg_20260224_144022\entregasrequerimientos_v2.php
2026-02-24T14:40:22 - Movido: entregasrequerimientos_v2.php -> sistemas/requerimientos/entregasrequerimientos_v2.php
2026-02-24T14:40:22 - Backup: C:\wamp64\www\BACKOFFICE\print_requerimiento.php -> C:\wamp64\www\BACKOFFICE\_backup_pre_reorg_20260224_144022\print_requerimiento.php
2026-02-24T14:40:22 - Movido: print_requerimiento.php -> sistemas/requerimientos/print_requerimiento.php
2026-02-24T14:40:22 - Backup: C:\wamp64\www\BACKOFFICE\out_entregas.html -> C:\wamp64\www\BACKOFFICE\_backup_pre_reorg_20260224_144022\out_entregas.html
2026-02-24T14:40:22 - Movido: out_entregas.html -> sistemas/requerimientos/out_entregas.html
2026-02-24T14:40:22 - Backup: C:\wamp64\www\BACKOFFICE\debug_entregas.js -> C:\wamp64\www\BACKOFFICE\_backup_pre_reorg_20260224_144022\debug_entregas.js
2026-02-24T14:40:22 - Movido: debug_entregas.js -> sistemas/requerimientos/debug_entregas.js
2026-02-24T14:40:22 - Backup: C:\wamp64\www\BACKOFFICE\aprobaciones.php -> C:\wamp64\www\BACKOFFICE\_backup_pre_reorg_20260224_144022\aprobaciones.php
2026-02-24T14:40:22 - Movido: aprobaciones.php -> sistemas/requerimientos/aprobaciones.php
2026-02-24T14:40:22 - Backup: C:\wamp64\www\BACKOFFICE\aprobaciones_v2.php -> C:\wamp64\www\BACKOFFICE\_backup_pre_reorg_20260224_144022\aprobaciones_v2.php
2026-02-24T14:40:22 - Movido: aprobaciones_v2.php -> sistemas/requerimientos/aprobaciones_v2.php
2026-02-24T14:40:22 - Backup: C:\wamp64\www\BACKOFFICE\almacenes_por_sucursal.php -> C:\wamp64\www\BACKOFFICE\_backup_pre_reorg_20260224_144022\almacenes_por_sucursal.php
2026-02-24T14:40:22 - Movido: almacenes_por_sucursal.php -> sistemas/requerimientos/almacenes_por_sucursal.php
